file,label,geometry_type,method,status,error,pc_to_mesh_mean,pc_to_mesh_rmse,pc_to_mesh_p95,mesh_to_pc_mean,chamfer_mean,mesh_components,largest_mesh_component_ratio,mean_adjacent_face_angle,smoothness_score,n_vertices,n_triangles,bad_triangle_ratio,mean_aspect_ratio,artifact_score,rmse_normalized,accuracy_score,connectivity_score,global_quality_score
valve_0002_lidar_classes.ply,7,complex,ball_pivoting,ok,,0.007459074551966527,0.009169108802361872,0.017205204934712608,0.008583183125872884,0.01604225767783941,5,0.9339774557165862,0.21549821779969214,0.8227079113371393,440,621,0.008051529790660225,2.2685449648919707,0.9919484702093397,0.018183400258970313,0.9821413310663428,0.2,0.7491994281532055
valve_0002_lidar_classes.ply,7,complex,poisson,ok,,0.010212544853174296,0.013409636265481875,0.03166354936565589,0.009380027063760395,0.01959257191693469,1,1.0,0.21131555554021528,0.8255487147228336,835,1520,0.05131578947368421,5.315661010201311,0.9486842105263158,0.026592855292506934,0.9740960058747634,1.0,0.9370822327809782
valve_0002_lidar_classes.ply,8,plane,alpha_shape,ok,,0.001899733571398413,0.0021930695484061024,0.00377084588732483,0.0068412014031621615,0.008740934974560575,1,1.0,0.7099055176502073,0.5848276350229127,48,97,0.0,1.8846268781024167,1.0,0.01707599760941289,0.9832106964970669,1.0,0.8920095828799949
valve_0002_lidar_classes.ply,8,plane,ball_pivoting,ok,,0.0018695592765582368,0.0021590743540527133,0.0036815826112525977,0.006008310949525031,0.007877870226083267,1,1.0,0.461788853201736,0.6840933270285334,48,80,0.0,1.978444254362259,1.0,0.01681129927463737,0.9834666478562639,1.0,0.9168899937211994
valve_0002_lidar_classes.ply,8,plane,poisson,ok,,0.0016049352885898933,0.002001115382671727,0.0038016156141057007,0.0068277083979112535,0.008432643686501148,9,0.9746192893401016,0.2099156718140462,0.8265038822917995,1466,2758,0.046410442349528645,33.51407427104176,0.9535895576504714,0.015581376119830258,0.9846576783641297,0.1111111111111111,0.7189655573543778
valve_0002_lidar_classes.ply,9,spherical,alpha_shape,ok,,0.020587053806237612,0.02863680392358629,0.06372540196134986,0.007033107718892262,0.027620161525129874,243,0.12794612794612795,1.4565874960896377,0.40706874947128335,1283,1782,0.006734006734006734,2.0713799787269007,0.9932659932659933,0.035166203450443655,0.9660284470906926,0.00411522633744856,0.5926196040413545
valve_0002_lidar_classes.ply,9,spherical,ball_pivoting,ok,,0.008298862894769365,0.009405160652467156,0.01663093921128275,0.007205195730237557,0.015504058625006922,1,1.0,0.06328647568359153,0.9404803153892234,2706,5291,0.005292005292005292,1.900085420282617,0.9947079947079948,0.011549605670776515,0.988582264669939,1.0,0.9809426436917893
valve_0002_lidar_classes.ply,9,spherical,poisson,ok,,0.008434776460870819,0.009497985582674319,0.016181761508963045,0.009204212854434258,0.017638989315305074,1,1.0,0.046695439072139404,0.9553877495505919,5387,10595,0.09495044832468146,12.146541177790631,0.9050495516753185,0.011663595360046613,0.9884708756808674,1.0,0.9622270442266945
valve_0003_lidar_classes.ply,0,spherical,alpha_shape,ok,,0.012982266835997484,0.017216010760244732,0.03641649109704121,0.006859727528195934,0.01984199436419342,155,0.11315280464216634,1.4159096271690679,0.41392276795212213,704,1034,0.007736943907156673,2.0037682468512554,0.9922630560928434,0.032230669773000646,0.9687757100066708,0.0064516129032258064,0.5953532867387155
valve_0003_lidar_classes.ply,0,spherical,ball_pivoting,ok,,0.007934019992603404,0.00902396535506397,0.01564070235456256,0.006608649895474811,0.014542669888078216,1,1.0,0.0855042252066034,0.9212308683641195,1044,1985,0.007052896725440806,1.9076720814733203,0.9929471032745592,0.016894067473150837,0.9833866004203069,1.0,0.9743911430147464
